Customer_ID,Age,Gender,Purchase_Amount,City,Subscription
1,25.0,Male,200.0,Pune,Yes
2,30.0,Female,500.0,Mumbai,No
3,,Female,300.0,Delhi,
4,45.0,,,Pune,Yes
5,22.0,Male,150.0,,No
6,150.0,Male,10000.0,Mumbai,Yes
7,35.0,Female,250.0,Delhi,Yes
8,,Female,400.0,Pune,
9,28.0,Male,,Mumbai,No
10,40.0,,350.0,Delhi,Yes
11,29.0,Female,280.0,Pune,No
12,31.0,Male,320.0,Mumbai,Yes
13,,Male,450.0,,No
14,27.0,Female,,Delhi,
15,33.0,,390.0,Pune,Yes
16,38.0,Male,410.0,Mumbai,No
17,41.0,Female,370.0,Delhi,Yes
18,26.0,Male,290.0,Pune,No
19,,Female,310.0,,Yes
20,36.0,Male,,Mumbai,
